countryiso3,url,start_date,end_date
#country+code,#country+url,#date+start,#date+end
AFG,https://data.humdata.org/dataset/wfp-food-prices-for-afghanistan,2000-01-15 00:00:00+00:00,2024-02-15 23:59:59+00:00
AGO,https://data.humdata.org/dataset/wfp-food-prices-for-angola,2008-01-15 00:00:00+00:00,2021-05-15 23:59:59+00:00
ARG,https://data.humdata.org/dataset/wfp-food-prices-for-argentina,2005-01-15 00:00:00+00:00,2022-12-15 23:59:59+00:00
ARM,https://data.humdata.org/dataset/wfp-food-prices-for-armenia,1996-01-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
AZE,https://data.humdata.org/dataset/wfp-food-prices-for-azerbaijan,2007-01-15 00:00:00+00:00,2010-08-15 23:59:59+00:00
BDI,https://data.humdata.org/dataset/wfp-food-prices-for-burundi,2003-01-15 00:00:00+00:00,2024-02-15 23:59:59+00:00
BEN,https://data.humdata.org/dataset/wfp-food-prices-for-benin,2002-01-15 00:00:00+00:00,2023-12-15 23:59:59+00:00
BFA,https://data.humdata.org/dataset/wfp-food-prices-for-burkina-faso,1992-01-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
BGD,https://data.humdata.org/dataset/wfp-food-prices-for-bangladesh,1998-07-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
BLR,https://data.humdata.org/dataset/wfp-food-prices-for-belarus,2009-01-15 00:00:00+00:00,2022-11-15 23:59:59+00:00
BOL,https://data.humdata.org/dataset/wfp-food-prices-for-bolivia-plurinational-state-of,2008-01-15 00:00:00+00:00,2022-12-15 23:59:59+00:00
BTN,https://data.humdata.org/dataset/wfp-food-prices-for-bhutan,2006-03-15 00:00:00+00:00,2022-12-15 23:59:59+00:00
CAF,https://data.humdata.org/dataset/wfp-food-prices-for-central-african-republic,2004-01-15 00:00:00+00:00,2023-12-15 23:59:59+00:00
CHN,https://data.humdata.org/dataset/wfp-food-prices-for-china,2014-01-15 00:00:00+00:00,2020-10-15 23:59:59+00:00
CIV,https://data.humdata.org/dataset/wfp-food-prices-for-cote-d-ivoire,2005-01-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
CMR,https://data.humdata.org/dataset/wfp-food-prices-for-cameroon,2005-01-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
COD,https://data.humdata.org/dataset/wfp-food-prices-for-democratic-republic-of-the-congo,2007-01-15 00:00:00+00:00,2023-07-15 23:59:59+00:00
COG,https://data.humdata.org/dataset/wfp-food-prices-for-congo,2011-01-15 00:00:00+00:00,2022-10-15 23:59:59+00:00
COL,https://data.humdata.org/dataset/wfp-food-prices-for-colombia,2000-01-15 00:00:00+00:00,2023-11-15 23:59:59+00:00
CPV,https://data.humdata.org/dataset/wfp-food-prices-for-cabo-verde,2006-01-15 00:00:00+00:00,2022-11-15 23:59:59+00:00
CRI,https://data.humdata.org/dataset/wfp-food-prices-for-costa-rica,2007-09-15 00:00:00+00:00,2016-12-15 23:59:59+00:00
DJI,https://data.humdata.org/dataset/wfp-food-prices-for-djibouti,2005-01-15 00:00:00+00:00,2024-01-15 23:59:59+00:00
DOM,https://data.humdata.org/dataset/wfp-food-prices-for-dominican-republic,2006-01-15 00:00:00+00:00,2022-12-15 23:59:59+00:00
DZA,https://data.humdata.org/dataset/wfp-food-prices-for-algeria,2015-04-15 00:00:00+00:00,2021-11-15 23:59:59+00:00
ECU,https://data.humdata.org/dataset/wfp-food-prices-for-ecuador,2005-01-15 00:00:00+00:00,2023-09-15 23:59:59+00:00
EGY,https://data.humdata.org/dataset/wfp-food-prices-for-egypt,2010-08-15 00:00:00+00:00,2023-04-15 23:59:59+00:00
ERI,https://data.humdata.org/dataset/wfp-food-prices-for-eritrea,2007-04-15 00:00:00+00:00,2009-02-15 23:59:59+00:00
