market_id,market,countryiso3,admin1,admin2,latitude,longitude
#loc+market+code,#loc+market+name,#country+code,#adm1+name,#adm2+name,#geo+lat,#geo+lon
80,Arusha (urban),TZA,Arusha,Arusha Urban,-3.366667,36.683333
81,Babati,TZA,Manyara,Babati Urban,-4.216667,35.75
82,Bukoba,TZA,Kagera,Bukoba Urban,-1.331667,31.812222
83,Dar Es Salaam,TZA,Dar-es-salaam,Ilala,-6.8,39.283333
84,Dodoma (Majengo),TZA,Dodoma,Mpwapwa,-7.29067,36.340375
85,Iringa Urban,TZA,Iringa,Iringa Urban,-7.766667,35.7
86,Kigoma,TZA,Kigoma,Kigoma Municipal-Ujiji,-4.876944,29.626667
87,Lindi,TZA,Lindi,Lindi Urban,-10.0,39.716667
88,Mwanjelwa,TZA,Mbeya,Mbeya Urban,-8.9,33.45
89,Morogoro,TZA,Morogoro,Morogoro Urban,-6.816667,37.666667
90,Moshi,TZA,Kilimanjaro,Moshi Municipal,-3.35,37.333333
91,Mtwara DC,TZA,Mtwara,Mtwara Urban,-10.266667,40.183333
92,Mwanza,TZA,Mwanza,Nyamagana,-2.516667,32.9
93,Shinyanga,TZA,Shinyanga,Shinyanga Urban,-3.666667,33.433333
94,Singida,TZA,Singida,Singida Urban,-4.816667,34.75
95,Songea,TZA,Ruvuma,Songea Urban,-10.683333,35.65
96,Tabora,TZA,Tabora,Tabora Urban,-5.016667,32.8
97,Tanga / Mgandini,TZA,Tanga,Tanga,-5.07378,39.100106
99,Musoma,TZA,Mara,Musoma Municipal,-1.5,33.8
100,Sumbawanga,TZA,Rukwa,Sumbawanga Urban,-7.966667,31.616667
102,Cayes,HTI,South,Les Cayes,18.2,-73.75
103,Gonaives,HTI,Artibonite,Gonaives,19.45,-72.683333
104,Hinche,HTI,Centre,Hinche,19.15,-72.016667
105,Jacmel,HTI,South-East,Jacmel,18.234167,-72.534722
106,Jeremie,HTI,Grande'Anse,Jeremie,18.616667,-74.083333
107,Cap-Haitien,HTI,North,Cap-Haitien,19.757778,-72.204167
108,Ouanaminthe,HTI,North-East,Ouanaminthe,19.55,-71.733333
